,Crime Code,Crime Description
0,626,INTIMATE PARTNER - SIMPLE ASSAULT
1,510,VEHICLE - STOLEN
2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
3,110,CRIMINAL HOMICIDE
4,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
5,440,THEFT PLAIN - PETTY ($950 & UNDER)
6,763,STALKING
7,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
8,624,BATTERY - SIMPLE ASSAULT
9,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
10,649,DOCUMENT FORGERY / STOLEN FELONY
11,480,BIKE - STOLEN
12,210,ROBBERY
13,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02
14,220,ATTEMPTED ROBBERY
15,437,RESISTING ARREST
16,888,TRESPASSING
17,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
18,660,COUNTERFEIT
19,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
20,647,THROWING OBJECT AT MOVING VEHICLE
21,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER"
22,930,CRIMINAL THREATS - NO WEAPON DISPLAYED
23,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
24,330,BURGLARY FROM VEHICLE
25,860,BATTERY WITH SEXUAL CONTACT
26,946,OTHER MISCELLANEOUS CRIME
27,310,BURGLARY
28,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
29,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
30,850,INDECENT EXPOSURE
31,237,CHILD NEGLECT (SEE 300 W.I.C.)
32,625,OTHER ASSAULT
33,350,"THEFT, PERSON"
34,755,BOMB SCARE
35,940,EXTORTION
36,121,"RAPE, FORCIBLE"
37,441,THEFT PLAIN - ATTEMPT
38,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)
39,236,INTIMATE PARTNER - AGGRAVATED ASSAULT
40,886,DISTURBING THE PEACE
41,813,CHILD ANNOYING (17YRS & UNDER)
42,251,SHOTS FIRED AT INHABITED DWELLING
43,623,BATTERY POLICE (SIMPLE)
44,761,BRANDISH WEAPON
45,943,CRUELTY TO ANIMALS
46,815,SEXUAL PENTRATION WITH A FOREIGN OBJECT
47,354,THEFT OF IDENTITY
48,648,ARSON
49,320,"BURGLARY, ATTEMPTED"
50,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
51,900,VIOLATION OF COURT ORDER
52,956,"LETTERS, LEWD"
53,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060
54,410,"BURGLARY FROM VEHICLE, ATTEMPTED"
55,434,FALSE IMPRISONMENT
56,662,"BUNCO, GRAND THEFT"
57,351,PURSE SNATCHING
58,901,VIOLATION OF RESTRAINING ORDER
59,122,"RAPE, ATTEMPTED"
60,664,"BUNCO, PETTY THEFT"
61,910,KIDNAPPING
62,762,LEWD CONDUCT
63,933,PROWLER
64,520,VEHICLE - ATTEMPT STOLEN
65,805,PIMPING
66,840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065"
67,932,PEEPING TOM
68,810,"SEX, UNLAWFUL"
69,485,BIKE - ATTEMPTED STOLEN
70,450,THEFT FROM PERSON - ATTEMPT
71,352,PICKPOCKET
72,438,RECKLESS DRIVING
73,820,ORAL COPULATION
74,928,THREATENING PHONE CALLS/LETTERS
75,444,DISHONEST EMPLOYEE - PETTY THEFT
76,661,UNAUTHORIZED COMPUTER ACCESS
77,753,DISCHARGE FIREARMS/SHOTS FIRED
78,922,CHILD STEALING
79,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
80,433,DRIVING WITHOUT OWNER CONSENT (DWOC)
81,666,"BUNCO, ATTEMPT"
82,942,BRIBERY
83,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
84,756,WEAPONS POSSESSION/BOMBING
85,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
86,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
87,443,SHOPLIFTING - ATTEMPT
88,949,ILLEGAL DUMPING
89,920,KIDNAPPING - GRAND ATTEMPT
90,452,"PICKPOCKET, ATTEMPT"
91,451,PURSE SNATCHING - ATTEMPT
92,421,THEFT FROM MOTOR VEHICLE - ATTEMPT
93,622,BATTERY ON A FIREFIGHTER
94,651,DOCUMENT WORTHLESS ($200.01 & OVER)
95,890,FAILURE TO YIELD
96,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
97,439,FALSE POLICE REPORT
98,345,DISHONEST EMPLOYEE - GRAND THEFT
99,952,ABORTION/ILLEGAL
100,954,CONTRIBUTING
101,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400"
102,353,DRUNK ROLL
103,474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
104,487,BOAT - STOLEN
105,880,DISRUPT SCHOOL
106,882,INCITING A RIOT
107,884,FAILURE TO DISPERSE
108,806,PANDERING
109,471,TILL TAP - PETTY ($950 & UNDER)
110,436,LYNCHING - ATTEMPTED
111,944,CONSPIRACY
112,931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)0132"
113,870,CHILD ABANDONMENT
114,924,TELEPHONE PROPERTY - DAMAGE
115,903,CONTEMPT OF COURT
116,865,"DRUGS, TO A MINOR"
117,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
118,347,GRAND THEFT / INSURANCE FRAUD
119,473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
120,349,GRAND THEFT / AUTO REPAIR
121,446,PETTY THEFT - AUTO REPAIR
122,435,LYNCHING
123,113,"MANSLAUGHTER, NEGLIGENT"
124,948,BIGAMY
125,472,TILL TAP - ATTEMPT
126,470,TILL TAP - GRAND THEFT ($950.01 & OVER)
127,822,
128,453,DRUNK ROLL - ATTEMPT
129,475,"THEFT, COIN MACHINE - ATTEMPT"
130,652,DOCUMENT WORTHLESS ($200 & UNDER)
131,760,
132,921,
133,814,
134,445,DISHONEST EMPLOYEE ATTEMPTED THEFT
135,830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
136,432,BLOCKING DOOR INDUCTION CENTER
137,926,TRAIN WRECKING
